image_path,label
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_002.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_003.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_004.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_005.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_006.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_007.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_008.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_009.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_010.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_011.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_013.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_016.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_018.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_019.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_021.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_022.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_023.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_024.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_025.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_026.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_027.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Healthy\Healthy_028.png,Healthy
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_000.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_001.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_002.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_003.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_004.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_005.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_009.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_010.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_011.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_012.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_013.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_014.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_015.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_016.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_017.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_018.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_019.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_020.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_021.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_022.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_023.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_024.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_026.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Leaf_Spot\Leaf_Spot_028.png,Leaf_Spot
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_000.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_001.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_002.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_003.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_004.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_005.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_007.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_008.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_010.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_011.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_013.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_014.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_015.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_016.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_017.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_019.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_020.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_021.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_022.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_023.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_024.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_026.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_028.png,Sunburn
Aloe Vera Leaf Disease Detection Dataset\Sunburn\Sunburn_029.png,Sunburn
